"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1517097600000,0.2989,0.3254,0.286,0.2869,22560.38,6606.25,"direct","",1517097600,"2018-01-27"
1517184000000,0.2759,0.3174,0.275,0.2989,28072.29,8028.13,"direct","",1517184000,"2018-01-28"
1517270400000,0.2303,0.3699,0.2303,0.2759,129666.63,37484.01,"direct","",1517270400,"2018-01-29"
1517356800000,0.2291,0.2469,0.2094,0.2303,53627.08,12234.83,"direct","",1517356800,"2018-01-30"
1517443200000,0.1961,0.2586,0.188,0.2291,58941.07,12381.92,"direct","",1517443200,"2018-01-31"
1517529600000,0.1784,0.1961,0.1313,0.1961,162641.8,25909.37,"direct","",1517529600,"2018-02-01"
1517616000000,0.2109,0.2405,0.1642,0.1784,72655.44,14074.14,"direct","",1517616000,"2018-02-02"
1517702400000,0.2153,0.2713,0.1906,0.2109,102894.42,24098.43,"direct","",1517702400,"2018-02-03"
1517788800000,0.185,0.2443,0.1651,0.2153,2511305.53,451458.34,"direct","",1517788800,"2018-02-04"
1517875200000,0.206,0.2286,0.1529,0.185,8272031.84,1596604.93,"direct","",1517875200,"2018-02-05"
1517961600000,0.2019,0.2366,0.1983,0.206,2883477.8,626447.68,"direct","",1517961600,"2018-02-06"
1518048000000,0.2089,0.222,0.201,0.2019,1328753.76,281303.27,"direct","",1518048000,"2018-02-07"
1518134400000,0.2248,0.2359,0.196,0.2089,2304746.23,488715.84,"direct","",1518134400,"2018-02-08"
1518220800000,0.2261,0.2549,0.21,0.2248,2307077.71,536098.63,"direct","",1518220800,"2018-02-09"
1518307200000,0.2023,0.2261,0.1981,0.2261,1440067.87,298584.23,"direct","",1518307200,"2018-02-10"
1518393600000,0.2135,0.2235,0.2023,0.2023,2457827.23,528433.33,"direct","",1518393600,"2018-02-11"
1518480000000,0.2054,0.217,0.1971,0.2135,783404.01,160669.08,"direct","",1518480000,"2018-02-12"
1518566400000,0.2237,0.2259,0.202,0.2054,2775296.23,588723.49,"direct","",1518566400,"2018-02-13"
1518652800000,0.22,0.2252,0.212,0.2237,2535775.38,556160.57,"direct","",1518652800,"2018-02-14"
1518739200000,0.2208,0.2244,0.209,0.22,2332837.09,506074.65,"direct","",1518739200,"2018-02-15"
1518825600000,0.2252,0.233,0.215,0.2208,4480750.57,1003977.65,"direct","",1518825600,"2018-02-16"
1518912000000,0.2025,0.2269,0.201,0.2252,2875464.67,611463.54,"direct","",1518912000,"2018-02-17"
1518998400000,0.2109,0.219,0.202,0.2025,1928661.18,409026.45,"direct","",1518998400,"2018-02-18"
1519084800000,0.1899,0.213,0.1864,0.2109,3017685.11,611810.39,"direct","",1519084800,"2018-02-19"
1519171200000,0.1826,0.1977,0.1774,0.1899,3098031.37,576349.5,"direct","",1519171200,"2018-02-20"
1519257600000,0.1664,0.1884,0.1634,0.1826,1467051.31,251788.06,"direct","",1519257600,"2018-02-21"
1519344000000,0.174,0.1795,0.162,0.1664,998200.64,169927.88,"direct","",1519344000,"2018-02-22"
1519430400000,0.1627,0.1779,0.1595,0.174,776710.96,128756.99,"direct","",1519430400,"2018-02-23"
1519516800000,0.1681,0.1752,0.1551,0.1627,1440311.13,235858.69,"direct","",1519516800,"2018-02-24"
1519603200000,0.1708,0.1743,0.1591,0.1681,1236124.44,208109.04,"direct","",1519603200,"2018-02-25"
1519689600000,0.1696,0.1749,0.165,0.1708,969469.47,164524.44,"direct","",1519689600,"2018-02-26"
1519776000000,0.1578,0.1729,0.1571,0.1696,871448.2,142526.07,"direct","",1519776000,"2018-02-27"
1519862400000,0.1586,0.1777,0.1496,0.1578,3564347.2,559970.56,"direct","",1519862400,"2018-02-28"
1519948800000,0.1524,0.16,0.1488,0.1586,5283787.88,807553.9,"direct","",1519948800,"2018-03-01"
1520035200000,0.1573,0.1668,0.15,0.1524,2989005.25,471016.03,"direct","",1520035200,"2018-03-02"
1520121600000,0.1603,0.1643,0.152,0.1573,1877043.44,292457.84,"direct","",1520121600,"2018-03-03"
1520208000000,0.1695,0.1939,0.1582,0.1603,5896181.3,1043951.44,"direct","",1520208000,"2018-03-04"
1520294400000,0.1681,0.1849,0.165,0.1695,2911974,503497.17,"direct","",1520294400,"2018-03-05"
1520380800000,0.154,0.1723,0.146,0.1681,3021340.88,478610.45,"direct","",1520380800,"2018-03-06"
1520467200000,0.1455,0.1596,0.141,0.154,1418529.12,211906.15,"direct","",1520467200,"2018-03-07"
